Time,Time,Water Flow Rate,Pump - 1 X Axis, Pump 1 Y-axis,Pump - 2 X Axis,Pump - 2 Y Axis,Pump - 3 X Axis, Pump - 3 Y Axis,OA_TEMP,Power Consumption,Pump - 1 Status,Pump - 2 Status,Pump - 3 Status,avg_outflow,avg_inflow
1,2,364.5661011,-0.0215,2.048,0.1495,0.8902,1.0611,0.9,9.070051,11.44608402,1,1,1,2.941,2.589
2,3,364.5661011,0.1001,2.048,0.5036,1.0181,1.1204,1.322,8.771828,11.44608402,1,1,1,2.936,2.961
3,4,364.5661011,-0.0012,2.048,0.7587,1.0299,1.1254,1.6234,8.786055,11.44608402,1,1,1,2.928,3.225
4,5,364.5661011,-0.0562,2.048,0.9863,0.6432,1.1314,1.6899,8.800337,11.44608402,1,1,1,2.928,3.354
5,6,364.5661011,-0.0547,2.048,1.1822,0.9981,1.1451,1.3053,8.814619,11.44608402,1,1,1,2.917,3.794
6,7,364.5661011,-0.1116,2.048,1.4113,1.0422,1.1862,1.2789,8.828846,11.44608402,1,1,1,2.912,3.75
7,8,364.5661011,-0.0384,2.048,1.5737,1.0871,1.2152,1.7557,8.85741,11.44608402,1,1,1,2.355,3.507
8,9,364.5661011,-0.0354,1.8597,1.5726,1.1042,1.1754,2.048,8.85741,11.44608402,1,1,1,2.366,3.188
9,10,364.5661011,-0.0753,1.0774,1.6512,1.3576,1.1845,1.8442,8.871637,11.44608402,1,1,1,3.923,3.378
10,11,364.5661011,-0.0506,0.7712,1.5509,0.5467,1.1425,1.7123,8.88592,11.44608402,1,1,1,3.912,3.425
11,12,364.5661011,-0.0369,-0.5327,1.431,0.5199,1.1611,1.5773,8.9001465,11.44608402,1,1,1,2.971,3.775
12,13,364.5661011,-0.0588,-0.2403,1.243,1.1932,1.1916,1.1791,8.914429,11.44608402,1,1,1,3.833,3.763
13,14,364.5661011,-0.0521,-2.048,0.9985,1.2533,1.1305,0.3706,8.928711,11.44608402,1,1,1,2.984,3.487
14,15,364.5661011,-0.1179,-1.6254,0.7611,1.2324,1.0983,0.5831,8.957222,11.44608402,1,1,1,3.236,3.604
15,16,364.5661011,-0.087,-0.5906,0.4963,0.9339,1.056,0.851,8.971449,11.44608402,1,1,1,2.95,3.6
16,17,364.5661011,-0.0643,-1.3854,0.0578,0.7355,0.9443,0.1435,8.971449,11.44608402,1,1,1,2.935,3.481
17,18,364.5661011,-0.0312,-0.8918,-0.4894,0.6317,0.9051,-0.6306,8.985731,11.44608402,1,1,1,2.937,3.623
18,19,364.5661011,-0.1762,1.0693,1.5023,1.1783,1.1599,2.048,8.999958,11.44608402,1,1,1,3.308,3.785
19,20,364.5661011,-0.077,1.828,1.2321,1.441,1.1712,1.9951,9.01424,11.44608402,1,1,1,2.933,3.596
20,21,364.5661011,-0.054,2.048,1.0012,0.9405,1.1317,0.8209,9.0285225,11.44608402,1,1,1,2.94,3.642
21,22,364.5661011,-0.131,2.048,0.7687,0.9565,1.096,1.1098,9.042749,11.44608402,1,1,1,3.427,3.519
22,23,364.5661011,-0.065,2.048,0.4234,0.9932,1.0049,1.0105,9.057032,11.44608402,1,1,1,2.98,3.541
23,24,364.5661011,-0.0005,0.8478,-0.6808,0.8718,0.8325,-0.7253,9.085541,11.44608402,1,1,1,2.997,3.526
24,25,364.5661011,0.0016,-0.2391,-0.9458,0.4926,0.8238,-1.2197,9.085541,11.44608402,1,1,1,2.978,3.542
25,26,364.5661011,-0.1108,-0.5933,-1.2645,0.6524,0.7571,-1.7167,9.09977,11.44608402,1,1,1,2.983,3.332
26,27,364.5661011,0.0174,-0.553,-1.2977,0.8983,0.7394,-1.6062,9.114052,11.44608402,1,1,1,2.989,3.249
27,28,364.5661011,-0.0133,-1.1002,-1.3241,0.9744,0.7225,-1.1107,9.128334,11.44608402,1,1,1,2.991,3.408
28,29,364.5661011,0.0604,-0.7726,-0.9959,1.0964,0.8394,-1.4071,9.142561,11.44608402,1,1,1,2.989,3.498
29,30,364.5661011,-0.047,-2.048,-0.7947,1.1583,0.8948,-0.9709,9.156843,11.44608402,1,1,1,2.967,3.488
30,31,364.5661011,-0.0315,-2.048,-0.5107,1.3805,0.9126,-0.548,9.17107,11.44608402,1,1,1,2.965,3.448
31,32,364.5661011,0.0436,-1.6757,-0.028,1.0979,1.0139,-0.1579,9.199579,11.44608402,1,1,1,3.625,3.426
32,33,364.5661011,-0.0058,-1.1222,0.2221,0.8936,1.0183,0.1047,9.199579,11.44608402,1,1,1,2.991,3.456
33,34,364.5661011,-0.1027,-0.0513,1.3099,0.7627,1.208,1.232,9.213861,11.44608402,1,1,1,2.995,3.611
34,35,364.5661011,-0.0767,0.6667,1.5201,1.0507,1.2105,1.7789,9.228088,11.44608402,1,1,1,3.356,3.601
35,36,364.5661011,-0.027,1.1081,1.6534,1.1589,1.2101,2.048,9.242371,11.44608402,1,1,1,2.97,3.703
36,37,364.5661011,-0.0037,0.9206,1.6452,1.034,1.1806,2.048,9.256599,11.44608402,1,1,1,3.812,3.585
37,38,364.5661011,-0.025,1.1572,1.5782,1.2429,1.1856,2.048,9.270882,11.44608402,1,1,1,3.092,3.561
38,39,364.5661011,-0.1025,2.048,0.8979,1.3669,1.1225,1.5905,9.285109,11.44608402,1,1,1,3.129,3.519
39,40,364.5661011,-0.0011,2.048,0.6505,1.2309,1.0795,1.4843,9.313618,11.44608402,1,1,1,2.721,3.39
40,41,364.5661011,-0.0687,2.048,0.2154,1.0632,0.9752,0.9442,9.313618,11.44608402,1,1,1,2.994,3.478
41,42,364.5661011,-0.1738,1.941,-0.0503,1.038,0.936,-0.0193,9.327845,11.44608402,1,1,1,2.977,3.564
42,43,364.5661011,-0.0941,1.8426,-0.3236,1.1697,0.9046,-0.3869,9.342127,11.44608402,1,1,1,3.146,3.67
43,44,364.5661011,0.1118,0.0168,-1.2349,0.6181,0.7388,-1.1962,9.356354,11.44608402,1,1,1,3.17,3.563
44,45,364.5661011,0.1093,-0.5841,-1.4721,0.7536,0.7296,-1.6347,9.370636,11.44608402,1,1,1,3.177,3.569
45,46,364.5661011,0.046,-1.3058,-1.4547,0.9817,0.6741,-1.6661,9.384865,11.44608402,1,1,1,3.175,3.441
46,47,364.5661011,-0.1058,-1.2162,-1.4408,1.26,0.7231,-1.2397,9.399147,11.44608402,1,1,1,3.182,3.505
